user,SongNr_6,SongNr_29,SongNr_35,SongNr_36,SongNr_1,SongNr_3,SongNr_31,SongNr_32,SongNr_37,SongNr_38,SongNr_2,SongNr_30,SongNr_34,SongNr_41,SongNr_10,SongNr_33,SongNr_5,SongNr_7,SongNr_8,SongNr_4
150,7,7,6,6,7,6,7,6,7,6,7,7,7,6,6,7,7,6,6,7
151,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7
160,6,6,6,6,6,6,6,5,3,6,5,6,5,6,5,6,3,6,6,6
161,6,6,6,5,6,5,6,5,5,6,6,6,6,6,6,6,6,6,6,6
162,6,7,7,7,6,6,6,7,6,7,7,5,6,2,7,6,7,6,6,7
163,5,6,6,5,5,7,6,5,5,6,6,6,5,7,6,6,5,7,7,5
164,5,3,7,5,3,3,2,2,6,7,6,3,7,2,2,6,5,6,6,2
165,5,6,5,7,6,6,7,6,6,3,5,7,7,7,5,6,3,5,5,5
166,7,7,5,7,6,5,5,6,6,6,7,5,7,3,7,7,6,3,7,7
167,5,5,5,6,5,6,5,5,5,6,6,5,5,5,5,6,2,5,5,5
168,7,6,6,5,7,6,7,7,7,6,7,7,6,7,7,7,7,7,7,6
169,6,6,7,7,7,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6
170,6,6,5,7,5,3,6,6,6,6,3,6,5,6,7,6,6,5,6,5
171,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6
172,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
